Sphyrna lewini;cambeva, cambeva-branca, cambevota, pateira-de-galha-preta, tubarão-martelo, tubarão-martelo entalhado, vaca;Criticamente em Perigo (CR);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Sphyrna media;cação-martelo, rudela, rudela-redonda, Tubarão-martelo-de-aba-curta;Criticamente em Perigo (CR);Amapá, Maranhão, Pará;Sistema Costeiro-Marinho
Sphyrna mokarran;cambeva, panã, tubarão martelo-grande;Criticamente em Perigo (CR);Alagoas, Amapá, Bahia, Ceará, Maranhão, Pará, Paraíba, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Sergipe;Sistema Costeiro-Marinho
Sphyrna tiburo;paña, tubarão-martelo;Criticamente em Perigo (CR);Alagoas, Amapá, Maranhão, Pará;Sistema Costeiro-Marinho
Sphyrna tudes;panã-amarela, tubarão-martelo;Criticamente em Perigo (CR);Amapá, Bahia, Ceará, Maranhão, Pará, Pernambuco;Sistema Costeiro-Marinho
Sphyrna zygaena;cambeva, cambevota, tubarão-martelo, tubarão-martelo-liso;Criticamente em Perigo (CR);Alagoas, Bahia, Ceará, Espírito Santo, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Sistema Costeiro-Marinho
Spinopilar moria;Aranha-bode, Aranha-fedorenta, Opilião;Criticamente em Perigo (CR);Minas Gerais;Cerrado
Spintherobolus ankoseion;Lambari;Vulnerável (VU);Paraná, Santa Catarina;Mata Atlântica, Pampa, Sistema Costeiro-Marinho
Spintherobolus broccae;Piaba;Em Perigo (EN);Rio de Janeiro, São Paulo;Mata Atlântica
Spintherobolus leptoura;Lambari;Em Perigo (EN);Paraná, São Paulo;Mata Atlântica
Spintherobolus papilliferus;Lambari;Em Perigo (EN);São Paulo;Mata Atlântica
Spinus yarrellii;pintassilgo-do-nordeste, Yellow-faced Siskin;Vulnerável (VU);Alagoas, Bahia, Ceará, Maranhão, Paraíba, Pernambuco, Piauí, Rio Grande do Norte, Sergipe, Tocantins;Caatinga, Cerrado, Mata Atlântica
Spiripockia punctata;Caramujo, Caramujo-de-caverna;Criticamente em Perigo (CR);Bahia;Cerrado
Sporophila beltoni;patativa-tropeira, Semillero arriero, Tropeiro Seedeater;Vulnerável (VU);Bahia, Goiás, Minas Gerais, Paraná, Rio Grande do Sul, Santa Catarina, São Paulo;Cerrado, Mata Atlântica
Sporophila falcirostris;cigarra-verdadeira, Semillero picudo, Temminck's Seedeater;Vulnerável (VU);Bahia, Espírito Santo, Mato Grosso do Sul, Minas Gerais, Paraná, Rio de Janeiro, Santa Catarina, São Paulo;Cerrado, Mata Atlântica
Sporophila frontalis;Buffy-fronted Seedeater, pixoxó, Semillero frentiblanco;Vulnerável (VU);Bahia, Espírito Santo, Minas Gerais, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Mata Atlântica
Sporophila hypoxantha;caboclinho-de-barriga-vermelha, Semillero Ventricanela, Tawny-bellied Seedeater;Vulnerável (VU);Bahia, Distrito Federal, Goiás, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo, Tocantins;Amazônia, Cerrado, Mata Atlântica, Pampa, Pantanal
Sporophila maximiliani;bicudo, Great-billed Seed-Finch, Semillero de Maximilian;Criticamente em Perigo (CR);Acre, Amapá, Amazonas, Bahia, Distrito Federal, Espírito Santo, Goiás, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Piauí, Rio de Janeiro, Rondônia, São Paulo, Tocantins;Amazônia, Cerrado
Sporophila melanogaster;Black-bellied Seedeater, caboclinho-de-barriga-preta, Semillero Ventrinegro;Vulnerável (VU);Bahia, Distrito Federal, Goiás, Mato Grosso do Sul, Minas Gerais, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo, Tocantins;Caatinga, Cerrado, Mata Atlântica
Sporophila nigrorufa;Black-and-tawny Seedeater, caboclinho-do-sertão, Semillero Rojinegro;Vulnerável (VU);Mato Grosso, Mato Grosso do Sul;Amazônia, Cerrado, Pantanal
Sporophila palustris;caboclinho-de-papo-branco, Marsh Seedeater, Semillero Palustre;Vulnerável (VU);Distrito Federal, Goiás, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraná, Rio Grande do Sul, São Paulo, Tocantins;Amazônia, Cerrado, Mata Atlântica, Pampa, Pantanal
Sporophila ruficollis;caboclinho-de-papo-escuro, Capuchino Garganta Café, Dark-throated Seedeater;Vulnerável (VU);Amazonas, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraná, Rio Grande do Sul, Rondônia, São Paulo, Tocantins;Amazônia, Cerrado, Mata Atlântica, Pampa, Pantanal
Squatina argentina;cação-anjo-de-asa-longa, tubarão-anjo-argentino;Criticamente em Perigo (CR);;Sistema Costeiro-Marinho
Squatina guggenheim;cação-anjo-espinhoso, cação-anjo-espinhudo;Criticamente em Perigo (CR);Rio de Janeiro, Santa Catarina;Sistema Costeiro-Marinho
Squatina occulta;cação-anjo-de-asa-curta, tubarão-anjo-oculto;Criticamente em Perigo (CR);Rio de Janeiro, Rio Grande do Sul, Santa Catarina;Sistema Costeiro-Marinho
Stegastes rocasensis;Donzela, Donzela-de-rocas, Saberé, saberé-de-rocas;Vulnerável (VU);Pernambuco, Rio Grande do Norte;Sistema Costeiro-Marinho
Stegastes sanctipauli;Donzela-de-são-pedro;Vulnerável (VU);Pernambuco;Sistema Costeiro-Marinho
Stegastes trindadensis;Donzela-de-trindade;Vulnerável (VU);Espírito Santo;Sistema Costeiro-Marinho
Steindachneridion amblyurum;Surubim-do-jequitinhonha;Criticamente em Perigo (CR);Minas Gerais;Cerrado, Mata Atlântica
Steindachneridion doceanum;Surubim-do-doce;Criticamente em Perigo (CR);Minas Gerais;Mata Atlântica
Steindachneridion melanodermatum;Surubim-do-iguaçu;Em Perigo (EN);Paraná;Mata Atlântica
Steindachneridion parahybae;Surubim-do-paraíba;Em Perigo (EN);Minas Gerais, Rio de Janeiro, São Paulo;Mata Atlântica
Steindachneridion scriptum;Surubim;Em Perigo (EN);Goiás, Minas Gerais, Paraná, Rio Grande do Sul, Santa Catarina, São Paulo;Cerrado, Mata Atlântica
Stenocercus azureus;Iguaninha-azul, Lagarto-das-pedras, Lagratixa-azul;Em Perigo (EN);Paraná, Rio Grande do Sul, São Paulo;Mata Atlântica, Pampa
Stenocercus dumerilii;Calango, Dragãozinho, Iguana-de-rabo-curto;Vulnerável (VU);Maranhão, Pará, Tocantins;Amazônia, Cerrado
Stenophysa marmorata;Caramujo;Vulnerável (VU);Bahia, Ceará, Goiás, Maranhão, Mato Grosso, Minas Gerais, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Rondônia, Santa Catarina, São Paulo, Tocantins;Amazônia, Caatinga, Cerrado, Desconhecido, Mata Atlântica, Pampa, Pantanal
Sterna dougallii;Charrán Rosado, Roseate Tern, trinta-réis-róseo;Vulnerável (VU);Alagoas, Bahia, Ceará, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Sergipe;Caatinga, Cerrado, Mata Atlântica, Sistema Costeiro-Marinho
Sterna hirundinacea;Charrán Suramericano, South American Tern, trinta-réis-de-bico-vermelho;Vulnerável (VU);Espírito Santo, Pará, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Amazônia, Mata Atlântica, Pampa, Sistema Costeiro-Marinho
Sternarchella curvioperculata;Ituí;Em Perigo (EN);Mato Grosso do Sul, São Paulo;Cerrado, Desconhecido, Mata Atlântica
Sternarchogiton zuanoni;;Em Perigo (EN);Pará;Amazônia
Sternarchorhynchus britskii;Ituí;Em Perigo (EN);Mato Grosso do Sul, São Paulo;Desconhecido, Mata Atlântica
Sternarchorhynchus caboclo;;Vulnerável (VU);Roraima;Amazônia
Sternarchorhynchus higuchii;;Criticamente em Perigo (CR);Amazonas;Amazônia
Sternarchorhynchus inpai;;Vulnerável (VU);Pará;Amazônia
Sternarchorhynchus jaimei;;Criticamente em Perigo (CR);Amazonas;Amazônia
Sternarchorhynchus kokraimoro;;Em Perigo (EN);Pará;Amazônia
Sternarchorhynchus mareikeae;;Vulnerável (VU);Pará;Amazônia
Sternarchorhynchus severii;Ituí;Vulnerável (VU);Roraima;Amazônia
Sternarchorhynchus villasboasi;;Em Perigo (EN);Pará;Amazônia
Stigmatura napensis napensis;papa-mosca-do-sertão;Vulnerável (VU);Amazonas, Pará, Rondônia, Roraima;Amazônia
Strix huhula albomarginata;coruja-preta;Vulnerável (VU);Santa Catarina;Mata Atlântica
Strymon ohausi;Borboleta, Borboleta formigueira, fadinha;Em Perigo (EN);Distrito Federal, Goiás, Minas Gerais, Paraná, São Paulo;Cerrado, Mata Atlântica
Stygichthys typhlops;Piaba-branca;Em Perigo (EN);Minas Gerais;Caatinga, Cerrado
Succinea lopesi;;Em Perigo (EN);Espírito Santo;Mata Atlântica
Sula sula;atobá-de-pé-vermelho, Piquero Patirrojo, Red-footed Booby;Em Perigo (EN);Bahia, Pernambuco;Mata Atlântica, Sistema Costeiro-Marinho
Sympterygia acuta;emplastro-bicudo, raia-emplastro;Em Perigo (EN);Santa Catarina;Sistema Costeiro-Marinho
Sympterygia bonapartii;emplastro-amarelo;Em Perigo (EN);Santa Catarina;Sistema Costeiro-Marinho
Synallaxis infuscata;Pijuí de Pinto, Pinto's Spinetail, tatac;Em Perigo (EN);Alagoas, Paraíba, Pernambuco;Caatinga, Mata Atlântica
Synallaxis kollari;Hoary-throated Spinetail, joão-de-barba-grisalha, Pijuí de Roraima;Vulnerável (VU);Roraima;Amazônia
Synaptula secreta;pepino-do-mar;Criticamente em Perigo (CR);São Paulo;Sistema Costeiro-Marinho
Syndactyla ucayalae;limpa-folha-de-bico-virado, Peruvian Recurvebill, Pico-Recurvo Peruano;Vulnerável (VU);Acre, Mato Grosso, Pará, Rondônia;Amazônia
Tangara cyanocephala cearensis;saíra-militar;Vulnerável (VU);Ceará;Caatinga
Tangara fastuosa;pintor, pintor-verdadeiro, saíra-pintor, saíra-sete-cores-do-nordeste, Seven-colored Tanager, Tangara Sietecolores;Vulnerável (VU);Alagoas, Paraíba, Pernambuco, Rio Grande do Norte;Caatinga, Mata Atlântica
Tangara velia signata;saíra-diamante;Vulnerável (VU);Maranhão, Pará;Amazônia
Taoniscus nanus;codorna-carapé, Dwarf Tinamou, Inambú Enano, inhambu-carapé, Perdiz petisa;Em Perigo (EN);Bahia, Distrito Federal, Goiás, Mato Grosso do Sul, Minas Gerais, Paraná, São Paulo, Tocantins;Caatinga, Cerrado
Tapirus terrestris;Anta, Anta brasileña, Brazilian tapir, Danta, Danta amazónica, Gran bestia, Lowland tapir, Maypouir, Sacha vaca, South American tapir, Tapir, Tapir brasileño, Tapir D’Amérique, Tapir terrestre;Vulnerável (VU);Acre, Amapá, Amazonas, Bahia, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraná, Piauí, Rio de Janeiro, Rio Grande do Sul, Rondônia, Roraima, Santa Catarina, São Paulo, Tocantins;Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal, Sistema Costeiro-Marinho
Taunayia bifasciata;Bagrinho-listrado;Vulnerável (VU);São Paulo;Mata Atlântica
Tayassu pecari;Cariblanco, Chancho de monte, Pécari à lèvres blanches, Pecari de labios blancos, Porcão, Queixada, White-lipped peccary;Vulnerável (VU);Acre, Amapá, Amazonas, Bahia, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraná, Piauí, Rio de Janeiro, Rondônia, Roraima, Santa Catarina, São Paulo, Tocantins;Amazônia, Cerrado, Mata Atlântica, Pantanal, Sistema Costeiro-Marinho
Teleocichla centisquama;jacundá, joaninha, Sabãozinho;Em Perigo (EN);Pará;Amazônia
Teleocichla cinderella;Jacundá, Joaninha-da-pedra;Em Perigo (EN);Maranhão, Pará;Amazônia
Teleocichla prionogenys;jacundá, Joaninha-da-pedra, slender-pike;Vulnerável (VU);Pará;Amazônia
Teleocichla wajapi;jacundá, Joaninha-da-pedra, slender-pike;Em Perigo (EN);Amapá, Pará;Amazônia
Tembeassu marauna;Ituí-maraúna;Criticamente em Perigo (CR);Mato Grosso do Sul, São Paulo;Desconhecido, Mata Atlântica
Terenura sicki;Orange-bellied Antwren, Tiluchí de Sick, zidedê-do-nordeste;Criticamente em Perigo (CR);Alagoas, Pernambuco;Caatinga, Mata Atlântica
Thalassarche chlororhynchos;Albatros clororrinco atlántico, albatroz-de-nariz-amarelo, Molly, Western Yellow-nosed Albatross, Yellow- nosed Albatross, Yellow-nosed Mollymawk;Em Perigo (EN);Espírito Santo, Maranhão, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe;Amazônia, Mata Atlântica, Pampa, Sistema Costeiro-Marinho
Thalasseus acuflavidus;Cabot's Tern, trinta-réis-de-bando;Vulnerável (VU);Rio Grande do Sul, Santa Catarina, São Paulo;Mata Atlântica, Pampa, Sistema Costeiro-Marinho
Thalasseus maximus;Charrán Real, Royal Tern, trinta-réis-real;Em Perigo (EN);Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraná, Piauí, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Amazônia, Caatinga, Cerrado, Mata Atlântica, Pampa, Sistema Costeiro-Marinho
Thalpomys cerradensis;Cerrado Mouse, Rato-do-chão;Vulnerável (VU);Bahia, Distrito Federal, Goiás, Mato Grosso, Piauí, Tocantins;Cerrado
Thalpomys lasiotis;Hairy-eared Akodont, Hairy-eared Cerrado Mouse, Hairy-eared Mouse, Rato-do-chão;Em Perigo (EN);Bahia, Distrito Federal, Minas Gerais;Cerrado
Thalurania watertonii;beija-flor-de-costas-violeta, Long-tailed Woodnymph, Zafiro Colilargo;Em Perigo (EN);Alagoas, Pernambuco;Caatinga, Mata Atlântica
Thamnomanes caesius caesius;ipecuá;Vulnerável (VU);Alagoas, Bahia, Espírito Santo, Minas Gerais, Pernambuco, Rio de Janeiro;Mata Atlântica
Thamnophilus aethiops distans;choca-lisa;Em Perigo (EN);Alagoas, Pernambuco;Caatinga, Mata Atlântica
Thamnophilus caerulescens cearensis;choca-da-mata-cearense;Vulnerável (VU);Ceará;Caatinga
Thamnophilus caerulescens pernambucensis;choca-da-mata;Vulnerável (VU);Alagoas, Paraíba, Pernambuco;Caatinga, Mata Atlântica
Thamnophilus nigrocinereus huberi;choca-preta-e-cinza;Vulnerável (VU);Pará;Amazônia
Thamnophilus nigrocinereus tschudii;choca-preta-e-cinza;Em Perigo (EN);Amazonas;Amazônia
Thaumastus lundi;;Criticamente em Perigo (CR);Minas Gerais;Cerrado
Thoropa lutzi;Lutz's River Frog, Rã-do-paredão, Rãzinha-dos-rochedos;Criticamente em Perigo (CR) (PE);Rio de Janeiro;Mata Atlântica
Thoropa petropolitana;Petropolis River Frog, Rã-da-pedra, Rã-das-pedras-de-Petropolis;Criticamente em Perigo (CR) (PE);Espírito Santo, Rio de Janeiro;Mata Atlântica
Thripophaga macroura;Colasuave estriado, rabo-amarelo, Striated Softtail;Vulnerável (VU);Bahia, Espírito Santo, Minas Gerais, Rio de Janeiro;Mata Atlântica, Sistema Costeiro-Marinho
Thunnus thynnus;albacora-azul, atum-azul;Em Perigo (EN);;Sistema Costeiro-Marinho
Tigrisoma fasciatum;Fasciated Tiger-Heron, Garza Tigre Barreteada, Garza-Tigre Oscura, Hocó Oscuro, Pájaro Vaco Oscuro, socó-boi-escuro, socó-jararaca;Vulnerável (VU);Amapá, Amazonas, Goiás, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraná, Rio de Janeiro, Rio Grande do Sul, Roraima, Santa Catarina, São Paulo;Amazônia, Cerrado, Mata Atlântica, Pantanal
Tinamus tao;azulona, Gallina Azul, Gray Tinamou, Perdiz Gris, Tinamú Gris;Vulnerável (VU);Acre, Amazonas, Maranhão, Mato Grosso, Pará, Rondônia, Tocantins;Amazônia, Cerrado, Pantanal
Tisentnops onix;Aranha;Criticamente em Perigo (CR);Minas Gerais;Cerrado
Tithorea harmonia caissara;Borboleta;Vulnerável (VU);Espírito Santo, Minas Gerais, Rio de Janeiro, São Paulo;Mata Atlântica
Tmesiphantes hypogeus;Aranha-caranguejeira, Tarântula.;Criticamente em Perigo (CR);Bahia;Caatinga
Tolypeutes tricinctus;Bola, Bolinha, Tatu-apara, Tatu-bola;Em Perigo (EN);Alagoas, Bahia, Ceará, Goiás, Maranhão, Minas Gerais, Paraíba, Pernambuco, Piauí, Rio Grande do Norte, Tocantins;Caatinga, Cerrado
Tomigerus gibberulus;Caracol;Em Perigo (EN);Alagoas, Pernambuco;Desconhecido, Mata Atlântica
Touit melanonotus;apuim-de-costas-pretas, Brown-backed Parrotlet, Cotorrita dorsinegra;Vulnerável (VU);Bahia, Espírito Santo, Minas Gerais, Paraná, Rio de Janeiro, Santa Catarina, São Paulo;Cerrado, Mata Atlântica
Touit surdus;apuim-de-cauda-amarela, Cotorrita Sorda, Golden-tailed Parrotlet;Vulnerável (VU);Alagoas, Bahia, Espírito Santo, Minas Gerais, Paraíba, Pernambuco, Rio de Janeiro, Sergipe;Mata Atlântica
Trichechus inunguis;Amazonian manatee, Lamantin, Manatí Amazônico, Peixe-boi-da-amazônia, Vaca Marina;Vulnerável (VU);Acre, Amapá, Amazonas, Pará, Rondônia, Roraima;Amazônia
Trichechus manatus;Antillean Manatee, Goáragoá, Manatee, Manati, Ouäraouä, Peixe-boi-marinho, Seekuh, West Indian Manatee, Zeekoe;Em Perigo (EN);Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Pernambuco, Piauí, Rio Grande do Norte, Sergipe;Sistema Costeiro-Marinho
Trichogenes claviger;;Criticamente em Perigo (CR);Espírito Santo;Mata Atlântica
Trichomycterus dali;Bagrinho-cego-da-serra-da-bodoquena;Vulnerável (VU);Mato Grosso do Sul;Cerrado
Trichomycterus itacarambiensis;;Criticamente em Perigo (CR);Minas Gerais;Cerrado
Trichomycterus rubbioli;;Vulnerável (VU);Bahia;Cerrado
Tricongius ybyguara;Aranha;Vulnerável (VU);Minas Gerais;Cerrado
Trigonectes strigabundus;Killifish, Pece anual, Peixe anual;Em Perigo (EN);Tocantins;Cerrado
Trinomys eliasi;Elias Atlantic Spiny-rat, Rato-do-espinho;Vulnerável (VU);Rio de Janeiro;Mata Atlântica
Trinomys mirapitanga;Dark-caped Atlantic Spiny-rat, Rato-do-espinho;Em Perigo (EN);Bahia;Mata Atlântica
Trinomys moojeni;Moojen’s Atlantic Spiny-rat, Rato-de-espinho;Em Perigo (EN);Minas Gerais;Mata Atlântica
Trinomys yonenagae;Rato-do-espinho, Yonenaga’s Atlantic Spiny-rat;Em Perigo (EN);Bahia;Caatinga, Cerrado, Desconhecido
Troglobius brasiliensis;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Criticamente em Perigo (CR);Pará;Amazônia
Troglobius ferroicus;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Criticamente em Perigo (CR);Minas Gerais;Mata Atlântica
Troglorhopalurus translucidus;Alacrau, Escorpião, Escorpião translúcido, Lacrau;Em Perigo (EN);Bahia;Caatinga
Trogolaphysa aelleni;Colêmbolo, Pulga-de-jardim, Snowflea, Springtail;Criticamente em Perigo (CR);São Paulo;Mata Atlântica
Trogon collaris eytoni;surucuá-de-coleira;Em Perigo (EN);Alagoas, Bahia, Espírito Santo;Mata Atlântica
Tropidophis grapiuna;Jiboinha-Grapiúna;Vulnerável (VU);Bahia;Mata Atlântica
Tropidurus erythrocephalus;Calango;Vulnerável (VU);Bahia;Caatinga
Tropidurus hygomi;Calango, Catende, Lagartixa-de-restinga;Vulnerável (VU);Bahia, Sergipe;Mata Atlântica, Sistema Costeiro-Marinho
Tropidurus imbituba;Calango;Criticamente em Perigo (CR);Santa Catarina;Mata Atlântica, Sistema Costeiro-Marinho
Tropidurus psammonastes;Calango;Em Perigo (EN);Bahia, Minas Gerais;Caatinga, Cerrado
Turmosa camposa;Borboleta;Em Perigo (EN);Rio de Janeiro;Mata Atlântica
Tursiops gephyreus;Boto, Boto-da-tainha, Boto-de-Lahille, Boto-pescador, Delfin Nariz de Botella, Golfinho, Golfinho-fliper, Lahille’s Bottlenose Dolphin, Tonina-de-Lahille;Em Perigo (EN);Rio Grande do Sul, Santa Catarina;Sistema Costeiro-Marinho
Typhochlaena curumim;Aranha, Aranha-caranguejeira, tarântula;Criticamente em Perigo (CR);Ceará, Paraíba, Piauí, Rio Grande do Norte;Caatinga, Mata Atlântica
Typhochlaena seladonia;Aranha, Aranha-caranguejeira, tarântula;Em Perigo (EN);Bahia, Sergipe;Mata Atlântica
Urotrygon microphthalmum;raia-de-fogo, raia-foguinho, raia-roliça;Vulnerável (VU);Amapá, Ceará, Maranhão, Pará, Paraíba, Pernambuco, Piauí, Rio Grande do Norte;Sistema Costeiro-Marinho
Urubitinga coronata;águia-cinzenta, Águila coronada, Chaco Eagle, Crowned Solitary Eagle;Em Perigo (EN);Bahia, Distrito Federal, Espírito Santo, Goiás, Maranhão, Mato Grosso, Mato Grosso do Sul, Minas Gerais, Pará, Paraná, Piauí, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo, Tocantins;Amazônia, Caatinga, Cerrado, Mata Atlântica, Pantanal
Vireo gracilirostris;juruviara-de-noronha, Noronha Vireo, sebito, Vireo de Noronha;Vulnerável (VU);Pernambuco;Mata Atlântica
Wallaciia heckeli;;Vulnerável (VU);Pará;Amazônia
Wallaciia urosema;jacundá, joaninha, Sabãozinho;Em Perigo (EN);Pará;Amazônia
Wilfredomys oenax;Greater Wilfred's Mouse, Rato-do-mato, Rufous-nosed Mouse;Em Perigo (EN);Paraná, Rio Grande do Sul, São Paulo;Mata Atlântica, Pampa
Willeyia loya;;Criticamente em Perigo (CR);São Paulo;Sistema Costeiro-Marinho
Xangoniscus aganju;Tatuzinho;Em Perigo (EN);Bahia;Cerrado
Xangoniscus itacarambiensis;Tatuzinho;Criticamente em Perigo (CR);Minas Gerais;Cerrado
Xangoniscus odara;Tatuzinho;Em Perigo (EN);Minas Gerais;Cerrado
Xanthopsar flavus;Saffron-cowled Blackbird, Tordo amarillo, veste-amarela;Vulnerável (VU);Rio Grande do Sul, Santa Catarina;Mata Atlântica, Pampa
Xenohyla truncata;Izecksohn's Brazilian Treefrog, Perereca-de-bromélia, Perereca-frugívora, Perereca-fruta;Vulnerável (VU);Rio de Janeiro;Mata Atlântica
Xenops minutus alagoanus;bico-virado-miúdo;Vulnerável (VU);Alagoas, Paraíba, Pernambuco, Rio Grande do Norte;Caatinga, Mata Atlântica
Xenurolebias myersi;Peixe anual, Peixe das nuvens;Em Perigo (EN);Bahia, Espírito Santo;Mata Atlântica, Sistema Costeiro-Marinho
Xiphocolaptes carajaensis;arapaçu-do-carajás, Carajas Woodcreeper;Vulnerável (VU);Pará;Amazônia
Xiphocolaptes falcirostris;arapaçu-do-nordeste, Moustached Woodcreeper, Trepatroncos Bigotudo;Vulnerável (VU);Bahia, Ceará, Maranhão, Minas Gerais, Paraíba, Pernambuco, Piauí, Rio Grande do Norte;Amazônia, Caatinga, Cerrado
Xipholena atropurpurea;anambé-de-asa-branca, Cotinga Aliblanco, White-winged Cotinga;Vulnerável (VU);Alagoas, Bahia, Espírito Santo, Paraíba, Pernambuco, Rio de Janeiro, Sergipe;Mata Atlântica, Sistema Costeiro-Marinho
Xipholena lamellipennis;bacacu-preto, Cotinga Coliblanco, White-tailed Cotinga;Vulnerável (VU);Amazonas, Maranhão, Pará, Tocantins;Amazônia, Cerrado
Xiphorhynchus atlanticus;arapaçu-de-garganta-amarela-do-nordeste, arapaçu-rajado-do-nordeste, Atlantic Woodcreeper, Northern Lesser Woodcreeper, Trepatroncos atlántico;Vulnerável (VU);Alagoas, Ceará, Paraíba, Pernambuco;Caatinga, Mata Atlântica
Xiphorhynchus guttatoides gracilirostris;arapaçu-de-lafresnaye;Em Perigo (EN);Ceará;Caatinga
Ybyrapora diversipes;Aranha, Aranha-caranguejeira, tarântula;Em Perigo (EN);Bahia;Mata Atlântica
Ybyrapora gamba;Aranha, Aranha-caranguejeira, tarântula;Criticamente em Perigo (CR);Bahia;Mata Atlântica
Yphthimoides iserhardi;Borboleta;Em Perigo (EN);Bahia;Caatinga
Zapteryx brevirostris;banjo, machete, raia-viola, raia-viola-de-bico-curto, tuiuiu, viola;Vulnerável (VU);Espírito Santo, Paraná, Rio de Janeiro, Rio Grande do Sul, Santa Catarina, São Paulo;Sistema Costeiro-Marinho
Zonia zonia diabo;Borboleta, Diabinha;Em Perigo (EN);Goiás, Minas Gerais, Paraná, São Paulo;Cerrado, Mata Atlântica
